,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
2,Indonesia,NCD_DTH_TOT,Total NCD Deaths,numeric,SEAR,South-East Asia,Country,IDN,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,1487277,,,1010864,,2103153,1 490 000 [1 010 000-2 100 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,SEAR,South-East Asia,Country,IDN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,119869.0,,,87647.0,,155411.0,119 869 [87 647-155 411],,,EN,2024-10-02T22:00:00.000Z
3,Russian Federation,NCD_DTH_TOT,Total NCD Deaths,numeric,EUR,Europe,Country,RUS,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,1592998,,,1419953,,1755015,1 590 000 [1 420 000-1 760 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,RUS,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,108638.0,,,65275.0,,154012.0,108 638 [65 275-154 012],,,EN,2024-10-02T22:00:00.000Z
5,Czechia,NCD_DTH_TOT,Total NCD Deaths,numeric,EUR,Europe,Country,CZE,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,100098,,,80768,,122221,100 000 [80 800-122 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,CZE,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,8199.0,,,5786.0,,10347.0,8199 [5786-10 347],,,EN,2024-10-02T22:00:00.000Z
6,Portugal,NCD_DTH_TOT,Total NCD Deaths,numeric,EUR,Europe,Country,PRT,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,101646,,,73389,,132642,102 000 [73 400-133 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,PRT,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,3252.0,,,2185.0,,4513.0,3252 [2185-4513],,,EN,2024-10-02T22:00:00.000Z
7,Bulgaria,NCD_DTH_TOT,Total NCD Deaths,numeric,EUR,Europe,Country,BGR,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,103080,,,92373,,129454,103 000 [92 400-129 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,BGR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,10865.0,,,7694.0,,13714.0,10 865 [7694-13 714],,,EN,2024-10-02T22:00:00.000Z
10,Belarus,NCD_DTH_TOT,Total NCD Deaths,numeric,EUR,Europe,Country,BLR,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,107986,,,98578,,136600,108 000 [98 600-137 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,BLR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,12648.0,,,8348.0,,16241.0,12 648 [8348-16 241],,,EN,2024-10-02T22:00:00.000Z
11,Nepal,NCD_DTH_TOT,Total NCD Deaths,numeric,SEAR,South-East Asia,Country,NPL,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,109269,,,62922,,180861,109 000 [62 900-181 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,SEAR,South-East Asia,Country,NPL,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,14662.0,,,10717.0,,19661.0,14 662 [10 717-19 661],,,EN,2024-10-02T22:00:00.000Z
16,Sri Lanka,NCD_DTH_TOT,Total NCD Deaths,numeric,SEAR,South-East Asia,Country,LKA,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,115872,,,70013,,172187,116 000 [70 000-172 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,SEAR,South-East Asia,Country,LKA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,9523.0,,,6798.0,,12329.0,9523 [6798-12 329],,,EN,2024-10-02T22:00:00.000Z
17,Greece,NCD_DTH_TOT,Total NCD Deaths,numeric,EUR,Europe,Country,GRC,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,115537,,,83783,,139789,116 000 [83 800-140 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,GRC,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,7871.0,,,5914.0,,9926.0,7871 [5914-9926],,,EN,2024-10-02T22:00:00.000Z
20,Kazakhstan,NCD_DTH_TOT,Total NCD Deaths,numeric,EUR,Europe,Country,KAZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,119427,,,92960,,139700,119 000 [93 000-140 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,KAZ,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,12489.0,,,9138.0,,15911.0,12 489 [9138-15 911],,,EN,2024-10-02T22:00:00.000Z
